Brand,Name,Estate,District,Elevation MASL,Source Classification,Varietals,Fermentation,Process,Roast,Flavour Profile,Notes,Price/100 gms,Link,Sample Pack
729 Grams Coffee,Amrut Whiskey,,"Chikkamagaluru, Karnataka",950-1050,Blend,,,Natural + Aged,Medium,Black Currant • Whiskey,Green beans are aged in Amrut whiskry barrels,₹488.00,LINK,No
729 Grams Coffee,Orchardale Naturals,Orchardale,"Salem, Tamilnadu",1520,Blend - Microlot,"SLN - 9, SLN - 795",,Natural,Light,Caramel • Mango • Plum • Raspberry,SCA 88,₹477.00,LINK,No
729 Grams Coffee,Rose Culture Process,,"Chikkamagaluru, Karnataka",1300,Blend,,Anaerobic Inoculation,Natural,Light Medium,Citrus • Floral • Red Fruits,Rose derived culture is used for inoculation,₹445.00,LINK,No
729 Grams Coffee,House Blend,,"Salem, Tamilnadu",1400-1524,Blend,,Anaerobic,Natural,Medium,Caco Nibs • Mangosteen • Passion Fruit • Rose,,₹335.00,LINK,No
729 Grams Coffee,Dark Side,,"Chikkamagaluru, Karnataka",910-1150,Blend,,,Natural,Dark,Cocoa • Dark Chocolate,,₹322.00,LINK,No
Agastya Coffee,Excelsa (Coffea Liberica),,"Kodagu, Karnataka",1000,Single Estate,Excelsa aka Liberica,,Natural,Medium,Jackfruit • Mango,,₹285.00,LINK,Yes
Agastya Coffee,Kent Microlot,Kogilahalla,"Kodagu, Karnataka",1000,Microlot,Kent,,Natural,Medium,Orange Candy • Strawberries,From the few estates in India that grow the Kent Vareital that is linked to beans brought to India by Baba Budan Giri,₹270.00,LINK,Yes
Agastya Coffee,Mysore Nuggets Extra Bold,,"Kodagu, Karnataka",1100,Single Estate,SLN - 795,,Washed,Medium Dark,Caramel • Chocolate,The beans are graded and 100% are above 6.5 mm and 90% is above 7.5mm,₹270.00,LINK,Yes
Agastya Coffee,Peaberry Washed,,"Kodagu, Karnataka",1000,Single Estate,Arabica Peaberry,,Washed,Medium Dark,Caramel • Citrus • Milk Chocolate,,₹260.00,LINK,Yes
Agastya Coffee,Palace Field Estate,Palace Field Estate,"Kodagu, Karnataka",1000,Single Estate,Chandragiri SLN - 13,,Washed,Medium,Chocolate • Tamarind,,₹240.00,LINK,Yes
Agastya Coffee,Kogilahalla Estate,Kogilahalla,"Kodagu, Karnataka",1000-1400,Single Estate,SLN - 795,,Washed,Medium,Citrus • Tea Rose,,₹240.00,LINK,Yes
Agastya Coffee,Sandalkad Estate,Sandalkad,"Kodagu, Karnataka",1170,Single Estate,,,Washed,Medium,Caramel • Mixed Berries • Plum,,₹240.00,LINK,Yes
Agastya Coffee,Modur Estate,Modur,"Kodagu, Karnataka",1000,Single Estate,Sarchimor,,Washed,Medium Dark,Cane Sugar • Dark Chocolate • Mandarin,,₹240.00,LINK,Yes
